Checking R^2=325, points=24, combinations=66
Checking R^2=425, points=24, combinations=66
Checking R^2=625, points=20, combinations=1
Checking R^2=650, points=24, combinations=66
Checking R^2=725, points=24, combinations=66
Checking R^2=845, points=24, combinations=66
Checking R^2=850, points=24, combinations=66
Checking R^2=925, points=24, combinations=66
Checking R^2=1025, points=24, combinations=66
Checking R^2=1105, points=32, combinations=8008
Checking R^2=1250, points=20, combinations=1
Checking R^2=1300, points=24, combinations=66
Checking R^2=1325, points=24, combinations=66
Checking R^2=1445, points=24, combinations=66
Checking R^2=1450, points=24, combinations=66
Checking R^2=1525, points=24, combinations=66
Checking R^2=1625, points=32, combinations=8008
Checking R^2=1690, points=24, combinations=66
Checking R^2=1700, points=24, combinations=66
Checking R^2=1825, points=24, combinations=66
Checking R^2=1850, points=24, combinations=66
Checking R^2=1885, points=32, combinations=8008
Checking R^2=2050, points=24, combinations=66
Checking R^2=2125, points=32, combinations=8008
Checking R^2=2210, points=32, combinations=8008
Checking R^2=2225, points=24, combinations=66
Checking R^2=2405, points=32, combinations=8008
Checking R^2=2425, points=24, combinations=66
Checking R^2=2465, points=32, combinations=8008
Checking R^2=2500, points=20, combinations=1
Checking R^2=2525, points=24, combinations=66
Checking R^2=2600, points=24, combinations=66
Checking R^2=2650, points=24, combinations=66
Checking R^2=2665, points=32, combinations=8008
Checking R^2=2725, points=24, combinations=66
Checking R^2=2825, points=24, combinations=66
Checking R^2=2873, points=24, combinations=66
Checking R^2=2890, points=24, combinations=66
Checking R^2=2900, points=24, combinations=66
Checking R^2=2925, points=24, combinations=66
Checking R^2=3050, points=24, combinations=66
Checking R^2=3125, points=24, combinations=66
Checking R^2=3145, points=32, combinations=8008
Checking R^2=3250, points=32, combinations=8008
Checking R^2=3380, points=24, combinations=66
Checking R^2=3400, points=24, combinations=66
Checking R^2=3425, points=24, combinations=66
Checking R^2=3445, points=32, combinations=8008
Checking R^2=3485, points=32, combinations=8008
Checking R^2=3625, points=32, combinations=8008
Checking R^2=3650, points=24, combinations=66
Checking R^2=3700, points=24, combinations=66
Checking R^2=3725, points=24, combinations=66
Checking R^2=3757, points=24, combinations=66
Checking R^2=3770, points=32, combinations=8008
Checking R^2=3825, points=24, combinations=66
Checking R^2=3925, points=24, combinations=66
Checking R^2=3965, points=32, combinations=8008
Checking R^2=4100, points=24, combinations=66
Checking R^2=4205, points=24, combinations=66
Checking R^2=4225, points=36, combinations=43758
Checking R^2=4250, points=32, combinations=8008
Checking R^2=4325, points=24, combinations=66
Checking R^2=4420, points=32, combinations=8008
Checking R^2=4450, points=24, combinations=66
Checking R^2=4505, points=32, combinations=8008
Checking R^2=4525, points=24, combinations=66
Checking R^2=4625, points=32, combinations=8008
Checking R^2=4745, points=32, combinations=8008
Checking R^2=4810, points=32, combinations=8008
Checking R^2=4825, points=24, combinations=66
Checking R^2=4850, points=24, combinations=66
Checking R^2=4901, points=24, combinations=66
Checking R^2=4925, points=24, combinations=66
Checking R^2=4930, points=32, combinations=8008
Checking R^2=5000, points=20, combinations=1
Checking R^2=5050, points=24, combinations=66
Checking R^2=5125, points=32, combinations=8008
Checking R^2=5185, points=32, combinations=8008
Checking R^2=5200, points=24, combinations=66
Checking R^2=5300, points=24, combinations=66
Checking R^2=5330, points=32, combinations=8008
Checking R^2=5365, points=32, combinations=8008
Checking R^2=5450, points=24, combinations=66
Checking R^2=5525, points=48, combinations=1961256
Checking R^2=5625, points=20, combinations=1
Checking R^2=5650, points=24, combinations=66
Checking R^2=5725, points=24, combinations=66
Checking R^2=5746, points=24, combinations=66
Checking R^2=5780, points=24, combinations=66
Checking R^2=5785, points=32, combinations=8008
Checking R^2=5800, points=24, combinations=66
Checking R^2=5825, points=24, combinations=66
Checking R^2=5850, points=24, combinations=66
Checking R^2=5945, points=32, combinations=8008
Checking R^2=6025, points=24, combinations=66
Checking R^2=6100, points=24, combinations=66
Checking R^2=6205, points=32, combinations=8008
Checking R^2=6250, points=24, combinations=66
Checking R^2=6253, points=24, combinations=66
Checking R^2=6290, points=32, combinations=8008
Checking R^2=6305, points=32, combinations=8008
Checking R^2=6409, points=32, combinations=8008
Checking R^2=6425, points=24, combinations=66
Checking R^2=6500, points=32, combinations=8008
Checking R^2=6525, points=24, combinations=66
Checking R^2=6565, points=32, combinations=8008
Checking R^2=6625, points=32, combinations=8008
Checking R^2=6725, points=24, combinations=66
FOUND PERFECT SET! R^2=6725
